Camera Deployment ID,,,,,,Elevation,Latitude,Longitude,Camera Deployment Begin Date,Camera Deployment Begin Time,Camera ID,Camera Deployment End Date,Vegetation Type,Quiet Period Setting,Sensitivity Setting
L-WL14-J18A,,,,,,3078,32.89345932,104.04507,12/26/2014,10:53,WL-006,3/8/2015,Coniferous Forest,,High
L-WL14-K16A,,,,,,2993,32.90385056,104.05305,12/26/2014,12:10,WL-014,3/8/2015,Coniferous Forest,,High
L-WL14-K17A,,,,,,3036,32.89599991,104.05292,12/26/2014,11:44,WL-018,3/8/2015,Coniferous Forest,,High
L-WL14-L10A,,,,,,2835,32.96681976,104.06629,10/28/2014,10:50,WL-029,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-L14A,,,,,,2870,32.93058014,104.06229,12/26/2014,13:50,WL-007,3/8/2015,Coniferous Forest,,High
L-WL14-L15A,,,,,,2890,32.9214592,104.06415,12/26/2014,13:15,WL-005,3/8/2015,Coniferous Forest,,High
L-WL14-L15B,,,,,,2980,32.91352081,104.06027,12/26/2014,12:37,WL-008,3/8/2015,Coniferous Forest,,High
L-WL14-N08A,,,,,,2710,32.98289108,104.08633,12/28/2014,12:20,DC-R03,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-N09A,,,,,,2620,32.97584915,104.08685,12/28/2014,13:18,DC-R02,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-O09A,,,,,,2670,32.97320938,104.09772,12/28/2014,10:20,DC-R05,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-O09B,,,,,,2620,32.9681015,104.09715,12/28/2014,10:45,WL-011,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-O11A,,,,,,,32.94979095,104.10017,12/27/2014,14:28,WL-027,,Coniferous-Deciduous Forest,,High
L-WL14-O12A,,,,,,3090,32.94123077,104.09911,12/27/2014,14:25,WL-002,5/18/2015,Coniferous Forest,,High
L-WL14-P09A,,,,,,2570,32.96743011,104.10668,12/28/2014,10:00,WL-004,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-P09B,,,,,,2776,32.97291946,104.10743,12/28/2014,11:10,R-11,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-P12A,,,,,,2888,32.94166183,104.10883,12/27/2014,12:32,WL-001,5/18/2015,Coniferous Forest,,High
L-WL14-P12B,,,,,,3196,32.94889069,104.10873,12/27/2014,,WL-009,,Coniferous Forest,,High
L-WL14-Q10A,,,,,,2550,32.96522141,104.11711,12/28/2014,,WL-013?,3/13/2015,Coniferous-Deciduous Forest,,High
L-WL14-Q11A,,,,,,2595,32.95616913,104.11797,12/28/2014,13:00,WL-010,3/13/2015,Deciduous Forest,,High
L-WL14-Q12A,,,,,,2725,32.94163895,104.11766,12/27/2014,11:12,WL-026,5/18/2015,Coniferous-Deciduous Forest,,High
L-WL14-Q12B,,,,,,3000,32.94715118,104.11291,12/27/2014,12:00,WL-019,,Shrub,,High
L-WL14-R10A,,,,,,2824,32.96546173,104.12467,12/27/2014,10:55,WL-022,3/13/2015,Coniferous-Deciduous Forest,,High
L-WL14-R11A,,,,,,2668,32.95711899,104.12719,12/27/2014,,,,Deciduous Forest,,High
L-WL14-R12A,,,,,,2650,32.94244003,104.12947,12/27/2014,10:15,WL-003,5/18/2015,Deciduous Forest,,High
L-WL14-S10A,,,,,,2970,32.96384048,104.13837,12/27/2014,13:18,WL-012,,Coniferous-Deciduous Forest,,High
L-WL14-S11A,,,,,,2930,32.95793915,104.13707,12/27/2014,11:18,WL-013,5/18/2015,Coniferous-Deciduous Forest,,High
L-WL14-S14A,,,,,,2532,32.92734909,104.13929,12/27/2014,11:36,WL-017,4/15/2015,Coniferous-Deciduous Forest,,High
L-WL14-T14A,,,,,,2618,32.93091965,104.14964,12/27/2014,10:29,WL-016,3/10/2015,Coniferous-Deciduous Forest,,High
L-WL15-D15A,,,,,,3510,32.91255951,103.9818,8/1/2015,13:55,WL-012,,Shrub,,High
L-WL15-E09A,,,,,,3357,32.97198105,103.9883,7/29/2015,13:05,WL-013,,Coniferous Forest,,High
L-WL15-E10A,,,,,,3200,32.96175003,103.9936,8/1/2015,12:45,DC-R05,,Coniferous Forest,,High
L-WL15-E11A,,,,,,3103,32.95513916,103.99158,8/1/2015,11:25,WL-007,,Coniferous Forest,,High
L-WL15-E13A,,,,,,3283,32.93112946,103.99174,8/1/2015,12:20,WL-010,,Coniferous Forest,,High
L-WL15-E13B,,,,,,3224,32.93867111,103.9892,8/1/2015,11:50,R-09,,Coniferous Forest,,High
L-WL15-E14A,,,,,,3370,32.92118835,103.98867,8/1/2015,13:05,WL-019,,Coniferous Forest,,High
L-WL15-F06A,,,,,,3108,32.99623108,104.00214,7/29/2015,10:37,WL-008,,Coniferous Forest,,High
L-WL15-F06B,,,,,,3222,33.00028992,103.99974,7/29/2015,11:52,WL-018,,Coniferous Forest,,High
L-WL15-F07A,,,,,,2920,32.98472977,104.00457,7/29/2015,12:30,WL-027,,Coniferous-Deciduous Forest,,High
L-WL15-F09A,,,,,,3046,32.96730042,103.99745,7/29/2015,15:30,,,Coniferous-Deciduous Forest,,High
L-WL15-F09B,,,,,,2900,32.9742012,104.00209,7/29/2015,11:15,WL-026,,Coniferous Forest,,High
L-WL15-F10A,,,,,,3044,32.95906067,103.99767,8/1/2015,12:00,WL-014,,Coniferous Forest,,High
L-WL15-G06A,,,,,,2905,33.00024033,104.01356,5/19/2015,12:30,WL-012,,Coniferous Forest,,High
L-WL15-G06B,,,,,,2919,32.99493027,104.00889,7/29/2015,09:44,R-11,,Coniferous-Deciduous Forest,,High
L-WL15-G08A,,,,,,2900,32.98413086,104.00726,7/29/2015,11:55,,,Coniferous-Deciduous Forest,,High
L-WL15-G08B,,,,,,2968,32.97652817,104.00526,7/29/2015,10:50,WL-028,,Coniferous Forest,,High
L-WL15-H03A,,,,,,3107,33.02151108,104.02242,5/19/2015,9:40,WL-028,,Coniferous-Deciduous Forest,,High
L-WL15-H05A,,,,,,2919,33.00735855,104.02342,5/19/2015,11:35,WL-013,,Coniferous Forest,,High
L-WL15-H06A,,,,,,3177,32.99647141,104.02541,6/3/2015,14:15,WL-001,,Coniferous-Deciduous Forest,,High
L-WL15-I06A,,,,,,3224,32.99592972,104.02845,6/3/2015,14:45,WL-002,,Coniferous-Deciduous Forest,,High
L-WL15-J02B,,,,,,2855,33.0038681,104.039399,10/21/2015,9:40,WL-014,2/28/2016,Coniferous-Deciduous Forest,,High
L-WL15-J05A,,,,,,3081,33.00912094,104.04235,5/30/2015,13:11,WL-009,,Coniferous-Deciduous Forest,,High
L-WL15-J06A,,,,,,2771,32.99523163,104.04354,10/21/2015,10:10,0004,2/28/2015,Coniferous-Deciduous Forest,,High
L-WL15-J13A,,,,,,3030,32.93346024,104.04325,3/17/2015,10:05,,,Coniferous Forest,,High
L-WL15-J13B,,,,,,2979,32.93621826,104.0443,3/17/2015,11:05,WL-018,,Coniferous Forest,,High
L-WL15-J19A,,,,,,3075,32.87976074,104.04282,10/21/2015,09:15,WL-035,,Coniferous Forest,,High
L-WL15-J19B,,,,,,3062,32.88491821,104.04525,8/26/2015,12:49,P-08,10/1/2015,Coniferous Forest,,High
L-WL15-K07A,,,,,,,32.9864769,104.05428,10/21/2015,10:48,0ZY0,2/28/2016,Coniferous-Deciduous Forest,,High
L-WL15-K09A,,,,,,2904,32.97325134,104.05782,5/21/2015,10:18,WL-019,,Coniferous-Deciduous Forest,,High
L-WL15-K09B,,,,,,3005,32.97077179,104.05539,5/21/2015,10:40,WL-025,,,,High
L-WL15-K18A,,,,,,3046,32.88914871,104.05048,10/21/2015,12:00,WL-027,,Coniferous Forest,,High
L-WL15-K19A,,,,,,3047,32.87839127,104.04975,10/21/2015,10:05,WL-036,,Coniferous Forest,,High
L-WL15-K20A,,,,,,3132,32.8740387,104.053,10/21/2015,11:00,WL-012,,Coniferous Forest,,High
L-WL15-L06A,,,,,,3232,32.99842072,104.06396,6/6/2015,14:46,WL-026,,Coniferous-Deciduous Forest,,High
L-WL15-L07A,,,,,,2849,32.99312973,104.06705,9/2/2015,16:10,,10/19/2015,Coniferous Forest,,High
L-WL15-L08A,,,,,,2656,32.98398972,104.06594,10/21/2015,9:15,WL-026,2/28/2016,Coniferous-Deciduous Forest,,High
L-WL15-L10A,,,,,,2716,32.95811844,104.06696,10/21/2015,13:00,WL-008,,Deciduous Forest,,High
L-WL15-L13A,,,,,,2836,32.93902969,104.0643,10/21/2015,12:30,WL-007,,Coniferous Forest,,High
L-WL15-L14A,,,,,,2810,32.93067169,104.06222,8/26/2015,13:27,WL-005,10/1/2015,Coniferous Forest,,High
L-WL15-M06A,,,,,,3090,32.99708176,104.07485,9/2/2015,14:50,新北林,10/19/2015,Coniferous Forest,,High
L-WL15-M07A,,,,,,2060,32.99317932,104.07471,6/6/2015,13:50,WL-004,,Coniferous-Deciduous Forest,,High
L-WL15-M08A,,,,,,2627,32.97631836,104.07663,8/26/2015,13:50,WL-003,10/1/2015,Coniferous-Deciduous Forest,,High
L-WL15-M08B,,,,,,2646,32.98403931,104.0718,10/21/2015,9:55,WL-013,2/28/2016,Coniferous-Deciduous Forest,,High
L-WL15-M09A,,,,,,2660,32.96770859,104.07141,10/21/2015,13:30,WL-018,,Coniferous-Deciduous Forest,,High
L-WL15-M11A,,,,,,2860,32.95151901,104.07334,3/16/2015,10:20,WL-008,,Coniferous-Deciduous Forest,,High
L-WL15-N06A,,,,,,2893,32.99435043,104.08764,6/9/2015,13:41,WL-005,,Coniferous-Deciduous Forest,,High
L-WL15-N08A,,,,,,2656,32.98073959,104.08522,8/26/2015,14:50,WL-017,12/1/2015,Coniferous-Deciduous Forest,,High
L-WL15-N10A,,,,,,3065,32.96152115,104.08759,6/9/2015,15:21,WL-017,,Coniferous-Deciduous Forest,,High
L-WL15-N10B,,,,,,2766,32.96635056,104.08565,6/9/2015,13:16,P-08,,Coniferous-Deciduous Forest,,High
L-WL15-N11A,,,,,,3065,32.94974136,104.08185,3/16/2015,12:52,WL-015,,Coniferous Forest,,High
L-WL15-O08A,,,,,,2895,32.98493958,104.09676,3/16/2015,11:20,WL-020,,Coniferous-Deciduous Forest,,High
L-WL15-O08B,,,,,,2910,32.98273849,104.10041,10/21/2015,11:03,WL-004,2/20/2016,Coniferous-Deciduous Forest,,High
L-WL15-O09A,,,,,,2560,32.97069931,104.09557,7/28/2015,10:20,,,Coniferous-Deciduous Forest,,High
L-WL15-O10A,,,,,,2810,32.95978165,104.0966,6/6/2015,13:30,WL-011,,Coniferous-Deciduous Forest,,High
L-WL15-O20A,,,,,,2929,32.87379074,104.09624,11/10/2015,13:09,PU05,2/27/2016,Coniferous Forest,,High
L-WL15-P08A,,,,,,3116,32.98378372,104.109302,9/2/2015,14:20,WL-026,10/20/2015,Coniferous Forest,,High
L-WL15-P10A,,,,,,2800,32.96075058,104.10653,6/6/2015,12:55,WL-003,,Coniferous-Deciduous Forest,,High
L-WL15-P10B,,,,,,2965,32.95917892,104.1081,9/2/2015,14:34,PC-001,10/20/2015,Coniferous Forest,,High
L-WL15-P14A,,,,,,2941,32.92998123,104.10909,11/10/2015,12:22,PU26,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-P17A,,,,,,2929,32.9025383,104.10877,11/10/2015,11:47,PU12,,Coniferous-Deciduous Forest,,High
L-WL15-P19A,,,,,,2807,32.88478851,104.11005,11/10/2015,11:20,PU07,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-P20A,,,,,,2884,32.87685013,104.1059,11/10/2015,12:24,PU28,2/27/2016,Coniferous Forest,,High
L-WL15-Q08A,,,,,,3096,32.98365021,104.11839,3/16/2015,14:54,WL-014,,Coniferous-Deciduous Forest,,High
L-WL15-Q09A,,,,,,2748,32.97502136,104.11651,3/16/2015,16:15,,,Coniferous-Deciduous Forest,,High
L-WL15-Q11A,,,,,,2581,32.95624924,104.118,9/2/2015,16:11,PC-011,,Deciduous Forest,,High
L-WL15-Q14A,,,,,,2905,32.92924881,104.11537,11/10/2015,11:29,PU29,2/27/2016,Deciduous Forest,,High
L-WL15-Q14B,,,,,,2769,32.92251968,104.11743,11/10/2015,10:45,PU01,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-Q15A,,,,,,2779,32.91476822,104.11849,11/10/2015,14:13,PU17,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-Q17A,,,,,,2750,32.89513016,104.12195,11/10/2015,10:20,PU32,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-Q17B,,,,,,2785,32.90341949,104.11677,11/10/2015,13:55,PU16,,Coniferous-Deciduous Forest,,High
L-WL15-Q18A,,,,,,3126,32.88819885,104.12086,11/10/2015,14:10,PU24,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-R09A,,,,,,,32.9739418,104.12926,3/16/2015,11:34,,,Coniferous-Deciduous Forest,,High
L-WL15-R11A,,,,,,,32.95063019,104.12897,10/23/2015,17:26,WL-001,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-R14A,,,,,,2998,32.92911911,104.12726,11/10/2015,12:00,PU22,,Coniferous-Deciduous Forest,,High
L-WL15-R15A,,,,,,2580,32.91786957,104.1287,11/10/2015,13:52,PU31,2/28/2016,Coniferous-Deciduous Forest,,High
L-WL15-R16A,,,,,,2588,32.91276169,104.12694,11/10/2015,11:42,PU23,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-R17A,,,,,,2801,32.90205002,104.12732,11/10/2015,11:57,PU14,,Coniferous-Deciduous Forest,,High
L-WL15-R17B,,,,,,2775,32.89657974,104.1275,11/10/2015,13:35,PU18,2/27/2016,Coniferous-Deciduous Forest,,High
L-WL15-S11A,,,,,,2726,32.94968033,104.13821,10/23/2015,13:35,WL-005,3/4/2016,Deciduous Forest,,High
L-WL15-S12A,,,,,,2518,32.94419479,104.13921,11/11/2015,9:09,PU25,2/26/2016,Coniferous-Deciduous Forest,,High
L-WL15-S13A,,,,,,2610,32.93801117,104.13986,10/23/2015,13:34,WL-019,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-S13B,,,,,,2530,32.93778992,104.13821,10/23/2015,12:33,R05,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-S14A,,,,,,2580,32.92726135,104.13709,5/19/2015,,,,Coniferous-Deciduous Forest,,High
L-WL15-S14B,,,,,,2533,32.9228096,104.13532,11/11/2015,9:30,DC-R2,2/28/2016,Deciduous Forest,,High
L-WL15-S15A,,,,,,2796,32.91822052,104.1391,11/12/2015,13:00,WL-002,2/28/2016,Coniferous-Deciduous Forest,,High
L-WL15-S16A,,,,,,3022,32.90877151,104.139061,11/11/2015,12:27,PU21,2/26/2016,Coniferous Forest,,High
L-WL15-T11A,,,,,,2834,32.95674896,104.14867,3/14/2015,12:50,R09,7/10/2015,Coniferous Forest,,High
L-WL15-T11B,,,,,,2762,32.95127106,104.14787,8/31/2015,09:30,WL-002,10/19/2015,Coniferous-Deciduous Forest,,High
L-WL15-T11C,,,,,,2941,32.95521164,104.15093,8/31/2015,11:54,WL-004,10/19/2015,Deciduous Forest,,High
L-WL15-T12A,,,,,,3034,32.94523621,104.149554,11/11/2015,10:37,PU04,2/26/2016,Coniferous-Deciduous Forest,,High
L-WL15-T13A,,,,,,2752,32.93970871,104.14784,3/14/2015,12:30,WL-010,,Coniferous-Deciduous Forest,,High
L-WL15-T15A,,,,,,2446,32.92139816,104.15115,10/23/2015,16:55,WL-028,,Coniferous-Deciduous Forest,,High
L-WL15-T16A,,,,,,2521,32.90904236,104.149584,11/11/2015,9:42,WL-020,2/26/2016,Coniferous-Deciduous Forest,,High
L-WL15-U11A,,,,,,3000,32.95119858,104.15739,3/14/2015,14:45,,7/10/2015,Coniferous-Deciduous Forest,,High
L-WL15-U12A,,,,,,3193,32.94318008,104.15854,11/11/2015,10:55,U12,3/4/2016,Coniferous Forest,,High
L-WL15-U13A,,,,,,3122,32.93930054,104.16478,3/14/2015,15:31,DC-R5,,Coniferous-Deciduous Forest,,High
L-WL15-U14A,,,,,,2956,32.92959976,104.16043,11/11/2015,12:23,P-08,2/28/2016,Shrub,,High
L-WL15-U15A,,,,,,2637,32.91746902,104.15839,10/23/2015,,WL-010,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-V12A,,,,,,3262,32.94105911,104.17178,3/14/2015,12:45,DC-R3,,Coniferous-Deciduous Forest,,High
L-WL15-V14A,,,,,,2998,32.9283905,104.17114,10/23/2015,15:45,WL-015,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-V15A,,,,,,2782,32.92226028,104.17107,10/23/2015,13:45,WL-016,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-W15A,,,,,,3008,32.92148972,104.18041,10/23/2015,14:58,WL-003,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL15-W15B,,,,,,3134,32.92153931,104.18323,10/23/2015,15:40,WL-017,3/4/2016,Coniferous-Deciduous Forest,,High
L-WL16-B15A,,,,,,4166,32.91732025,103.95799,7/30/2016,13:36,PU44,,Bare Rock,,High
L-WL16-B18A,,,,,,4015,32.8920517,103.96182,7/30/2016,11:34,PU16,,Bare Rock,,High
L-WL16-C15A,,,,,,3756,32.91830826,103.9709,7/30/2016,11:23,PU21,,Shrub,,High
L-WL16-C16A,,,,,,3851,32.90605164,103.96834,7/30/2016,13:14,PU12,,Shrub,,High
L-WL16-C23A,,,,,,4292,32.84080124,103.96864,7/20/2016,15:53,L017,,Bare Rock,,High
L-WL16-C23B,,,,,,4254,32.84524155,103.97301,7/20/2016,14:22,L018,,Bare Rock,,High
L-WL16-C24A,,,,,,4289,32.83729172,103.97306,7/20/2016,14:40,WL-029,,Bare Rock,,High
L-WL16-D15A,,,,,,3712,32.91696167,103.97859,7/30/2016,10:02,DL-R2,,Bare Rock,,High
L-WL16-D16A,,,,,,3731,32.90731049,103.97418,7/30/2016,13:56,WL-007,,Coniferous Forest,,High
L-WL16-D22A,,,,,,4172,32.85221863,103.98144,7/20/2016,16:21,L025,,Bare Rock,,High
L-WL16-D23A,,,,,,4286,32.84854126,103.97547,7/20/2016,15:23,L012,,Bare Rock,,High
L-WL16-E04A,,,,,,3900,33.01409912,103.99322,7/16/2016,14:30,L039,,Bare Rock,,High
L-WL16-E05A,,,,,,3762,33.00463867,103.986044,7/16/2016,14:00,L019,,Deciduous Forest,,High
L-WL16-E05B,,,,,,3488,33.00538635,103.991766,7/16/2016,12:06,L043,,Coniferous Forest,,High
L-WL16-E12A,,,,,,3121,32.94573975,103.98979,3/19/2016,13:58,PU22,,Coniferous-Deciduous Forest,,High
L-WL16-F01A,,,,,,3777,33.04119873,104.00186,7/17/2016,13:24,L040,,Bare Rock,,High
L-WL16-F03A,,,,,,3638,33.02286148,104.0001,7/17/2016,12:26,L041,,Bare Rock,,High
L-WL16-F05A,,,,,,3393,33.00281143,103.99711,7/16/2016,15:52,L046,,Coniferous Forest,,High
L-WL16-F08A,,,,,,3100,32.98031998,104.00218,3/19/2016,11:50,,,Coniferous-Deciduous Forest,,High
L-WL16-F20A,,,,,,4106,32.86769104,104.00308,7/20/2016,12:41,L032,,Bare Rock,,High
L-WL16-F21A,,,,,,3938,32.86558914,104.003374,7/20/2016,11:31,L035,,Bare Rock,,High
L-WL16-F22A,,,,,,3623,32.85450745,104.001064,7/20/2016,14:42,L028,,Coniferous Forest,,High
L-WL16-F22B,,,,,,3706,32.85378265,104.006037,7/20/2016,13:58,L047,,Shrub,,High
L-WL16-F23A,,,,,,3906,32.84515762,103.99943,7/20/2016,12:04,L013,,Bare Rock,,High
L-WL16-F24A,,,,,,3840,32.83124924,104.00429,7/21/2016,14:58,L026,,,,High
L-WL16-F25A,,,,,,4058,32.82442856,103.99987,7/21/2016,12:54,L022,,Bare Rock,,High
L-WL16-G01A,,,,,,3679,33.04067612,104.007076,7/17/2016,13:02,L045,,Shrub,,High
L-WL16-G02A,,,,,,3406,33.03370667,104.008358,7/17/2016,11:06,L04,,Coniferous-Deciduous Forest,,High
L-WL16-G07A,,,,,,2948,32.98477936,104.00492,3/19/2016,11:05,PU24,,Coniferous-Deciduous Forest,,High
L-WL16-G16A,,,,,,4098,32.91055679,104.0079,7/30/2016,11:07,PU01,,,,High
L-WL16-G16B,,,,,,4058,32.91017914,104.00874,7/30/2016,11:25,L034,,,,High
L-WL16-G17A,,,,,,4068,32.90325928,104.00957,7/30/2016,10:33,PU23,,Bare Rock,,High
L-WL16-G17B,,,,,,4033,32.9011879,104.0115,7/30/2016,,WL-003,,,,High
L-WL16-G20A,,,,,,3614,32.87181091,104.01121,3/20/2016,13:49,WL-007,,Coniferous-Deciduous Forest,,High
L-WL16-G20B,,,,,,3978,32.86909866,104.00693,7/20/2016,14:07,L036,,Bare Rock,,High
L-WL16-G21A,,,,,,3471,32.86238861,104.011607,3/20/2016,11:59,WL-015,,Coniferous-Deciduous Forest,,High
L-WL16-G21B,,,,,,3535,32.86317825,104.012111,7/20/2016,9:44,L030,,,,High
L-WL16-G23A,,,,,,3452,32.84534836,104.01463,7/21/2016,9:31,L011,,Coniferous-Deciduous Forest,,High
L-WL16-G25A,,,,,,3947,32.87292099,104.01704,7/21/2016,13:31,L027,,Bare Rock,,High
L-WL16-G25B,,,,,,3907,32.82366943,104.01266,7/21/2016,12:26,L020,,Bare Rock,,High
L-WL16-H03A,,,,,,3189,33.02759171,104.01746,3/19/2016,10：59,WL-001,,Coniferous-Deciduous Forest,,High
L-WL16-H04A,,,,,,3295,33.01708984,104.02205,3/19/2016,13：17,WL-017,,Coniferous Forest,,High
L-WL16-H06A,,,,,,3166,32.99610138,104.02543,3/18/2016,14:07,036,,Coniferous-Deciduous Forest,,High
L-WL16-H20A,,,,,,3250,32.87501144,104.02477,3/20/2016,10:51,WL-014,,Coniferous Forest,,High
L-WL16-H20B,,,,,,3260,32.86899948,104.02021,3/20/2016,11：15,WL-012,,Coniferous Forest,,High
L-WL16-H21A,,,,,,3340,32.85966873,104.01861,3/20/2016,12：00,WL-016,,Coniferous Forest,,High
L-WL16-H23A,,,,,,3593,32.84537888,104.0217,7/21/2016,9:50,L049,,Shrub,,High
L-WL16-H23B,,,,,,4142,32.84209061,104.026825,7/21/2016,11:26,L023,,Shrub,,High
L-WL16-H24A,,,,,,3720,32.83776093,104.01904,7/21/2016,10:58,L016,,Bare Rock,,High
L-WL16-I03A,,,,,,3293,33.02188873,104.0303,7/17/2016,11:05,L050,,Coniferous-Deciduous Forest,,High
L-WL16-I04A,,,,,,3600,33.01570129,104.035433,7/16/2016,12:20,,,Shrub,,High
L-WL16-I07A,,,,,,3510,32.98706055,104.02749,7/16/2016,13:20,L037,,Bare Rock,,High
L-WL16-I18A,,,,,,3760,32.88991928,104.03467,8/2/2016,14:34,PU15,,Shrub,,High
L-WL16-I19A,,,,,,3165,32.9773407,104.03331,3/26/2016,10:12,WL-002,,Coniferous Forest,,High
L-WL16-J04A,,,,,,3407,33.01478577,104.039658,7/16/2016,12:10,L048,,Coniferous Forest,,High
L-WL16-J05A,,,,,,2870,33.00405121,104.03932,3/19/2016,10：13,WL-028,,Coniferous-Deciduous Forest,,High
L-WL16-J07A,,,,,,2943,32.9892807,104.042294,3/19/2016,11:45,,,Coniferous Forest,,High
L-WL16-J08A,,,,,,3777,32.97666931,104.04349,8/2/2016,14:58,PU22,,,,High
L-WL16-J13A,,,,,,3031,32.93201065,104.04245,8/2/2016,11:20,WL-026,,Coniferous-Deciduous Forest,,High
L-WL16-J13B,,,,,,3162,32.93124008,104.04368,8/2/2016,12:07,,,Coniferous Forest,,High
L-WL16-J17A,,,,,,3100,32.8966217,104.04656,3/20/2016,11:10,WL-026,,Coniferous Forest,,High
L-WL16-J18A,,,,,,3050,32.89347076,104.04514,3/20/2016,9:50,DC-R02,,Coniferous Forest,,High
L-WL16-J18B,,,,,,3476,32.88980865,104.03895,8/2/2016,12:51,WL-019,,Coniferous Forest,,High
L-WL16-J19A,,,,,,3042,32.88502121,104.0449,3/20/2016,12:03,WL-008,,Coniferous Forest,,High
L-WL16-K05A,,,,,,3150,33.0067482,104.05295,3/19/2016,12:05,WL-027,,Coniferous Forest,,High
L-WL16-K06A,,,,,,3040,32.99810028,104.05283,3/18/2016,14:03,WL-009,,Coniferous-Deciduous Forest,,High
L-WL16-K08A,,,,,,3593,32.97842026,104.04938,8/2/2016,14:10,WL-028,,,,High
L-WL16-K13A,,,,,,2857,32.93695831,104.053947,3/21/2016,12:51,,,Coniferous-Deciduous Forest,,High
L-WL16-K15A,,,,,,3000,32.91725922,104.05379,3/21/2016,12:53,PU21,,Coniferous Forest,,High
L-WL16-K18A,,,,,,3103,32.88914108,104.05039,3/20/2016,12:29,,,Coniferous Forest,,High
L-WL16-K21A,,,,,,3310,32.86397934,104.05332,3/20/2016,10:55,WL-003,,Shrub,,High
L-WL16-L08A,,,,,,2663,32.98445892,104.06604,3/19/2016,13:50,DC-R05,,Coniferous-Deciduous Forest,,High
L-WL16-L11A,,,,,,2984,32.95333862,104.06446,3/21/2016,15:08,DC-R11,,Coniferous-Deciduous Forest,,High
L-WL16-L12A,,,,,,2804,32.944561,104.06412,3/21/2016,13:53,PU05,,Coniferous Forest,,High
L-WL16-L16A,,,,,,3290,32.90755844,104.06481,7/27/2016,14:05,L021,,Coniferous Forest,,High
L-WL16-L19A,,,,,,3715,32.87739944,104.06398,7/27/2016,13:10,L015,,Bare Rock,,High
L-WL16-L20A,,,,,,3862,32.87565994,104.06594,7/27/2016,13:50,L014,,Bare Rock,,High
L-WL16-L22A,,,,,,3648,32.8498497,104.06174,7/27/2016,12:27,L031,,Bare Rock,,High
L-WL16-L23A,,,,,,3840,32.84495926,104.06451,7/27/2016,13:30,L033,,Bare Rock,,High
L-WL16-M06A,,,,,,3106,32.99808884,104.07492,3/19/2016,14:44,WL-018,,Coniferous Forest,,High
L-WL16-M10A,,,,,,2865,32.96295929,104.07274,3/21/2016,13:18,PU07,,Coniferous-Deciduous Forest,,High
L-WL16-M16A,,,,,,3448,32.90853882,104.07016,7/27/2016,13:04,L024,,Coniferous Forest,,High
L-WL16-N07A,,,,,,2985,32.989151,104.08435,3/21/2016,14:01,WL-013,,Coniferous-Deciduous Forest,,High
L-WL16-N10A,,,,,,2744,32.96636963,104.08528,3/18/2016,16:10,PU08,,Coniferous-Deciduous Forest,,High
L-WL16-O05A,,,,,,3241,33.00334167,104.0998,3/20/2016,,PU14,,,,High
L-WL16-O06A,,,,,,3189,32.99900055,104.08501,3/20/2016,15:25,PU32,,Coniferous Forest,,High
L-WL16-O07A,,,,,,2947,32.99365997,104.09855,3/20/2016,16：10,,,Coniferous-Deciduous Forest,,High
L-WL16-O08A,,,,,,2774,32.98328018,104.09839,3/20/2016,16:55,,,Coniferous-Deciduous Forest,,High
L-WL16-P05A,,,,,,3232,33.00323868,104.10321,3/20/2016,14:00,PU105,,Deciduous Forest,,High
L-WL16-P06A,,,,,,3294,32.99832153,104.10642,3/20/2016,12：00,PU104,,Coniferous Forest,,High
L-WL16-P07A,,,,,,3061,32.99171829,104.10958,3/20/2016,11:40,PU17,,Coniferous-Deciduous Forest,,High
L-WL16-P10A,,,,,,2930,32.95915985,104.10807,3/21/2016,14:15,PU29,,Coniferous-Deciduous Forest,,High
L-WL16-Q11A,,,,,,2580,32.95595932,104.11771,3/21/2016,15：30,PU31,,,,High
