Deployment Name,Other Treatment,Other Treatment Description,Users,Groups Audience,Feature,Feature Description,Bait,Bait Description,Proposed Latitude,Proposed Longitude,Proposed Date Out,Proposed Retrieval Date,Image Resolution Setting,Quiet Period Setting,Sensitivity Setting,Subproject Node ID,Group Content Visibility,Status
L-WL15-R14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-E12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G20A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H03A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H04A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J19A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K21A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-L08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-L11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-L12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-M06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-M10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-J18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-K16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-K17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-L10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-L14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-L15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-L15B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-N08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-N09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-O09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-O09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-O11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-O12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-P09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-P09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-P12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-P12B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-Q10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-Q11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-Q12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-Q12B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-R10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-R11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-R12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-S10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-S11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL14-T14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-G06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-H03A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-H05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-I06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J13B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-K09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-K09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-L06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-M07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-M11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-N11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-O08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-O10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-R09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-U11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-U13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-D15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-E09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-E10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-E11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-E13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-E13B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-E14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-F06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-F06B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-F07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-F09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-F09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-F10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-G06B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-G08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-G08B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-L07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-L14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-M06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-M08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-N06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-N08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-N10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-N10B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-O09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P10B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T11B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T11C,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J02B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J19A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-J19B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-K07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-K18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-K19A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-K20A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-L08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-L10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-L13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-M08B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-M09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-O08B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-O20A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P19A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-P20A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q14B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-Q18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-R11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-R15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-R16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-R17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-R17B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S12,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S13B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S14B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-S16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-T16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-U12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-U15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-V14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-V15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-W15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL15-W15B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-B15A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-C23B1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-D16A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-D22A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-D23A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-E04A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F01A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F03A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F05A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F20A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F21A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F22A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F22B1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F23A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F24A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F25A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G16A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G21B1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G25A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G25B1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H23A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H23B1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H24A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-I03A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-I07A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-I18A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J04A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J08A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J13A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J13B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J18B1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K08A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-L16A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-L19A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-L20A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-M16A1,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
