,Deployment.ID1,Deployment.ID,Image.Sequence.ID,Image.ID,Location,Image.File.Name,Photo.Type,Photo.Type.Identified.by,Genus.Species,Species.Common.Name,TSN.ID,IUCN.ID,IUCN.Status,Date.Time,Interest.Rank,Age,Count,Animal.recognizable,Individual.Animal.Notes,Digital.Origin,Embargo.Period,Restrictions.on.Access,Image.Use.Restrictions
846,d34171,L-WL16-G07A,,L-WL16-G07A-0073,,IMAG0073,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 10:59,,,1,,,,,,
847,d34171,L-WL16-G07A,,L-WL16-G07A-0074,,IMAG0074,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 10:59,,,1,,,,,,
848,d34171,L-WL16-G07A,,L-WL16-G07A-0075,,IMAG0075,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 10:59,,,1,,,,,,
849,d34171,L-WL16-G07A,,L-WL16-G07A-0077,,IMAG0077,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:00,,,1,,,,,,
850,d34171,L-WL16-G07A,,L-WL16-G07A-0078,,IMAG0078,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:00,,,1,,,,,,
851,d34171,L-WL16-G07A,,L-WL16-G07A-0079,,IMAG0079,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:00,,,1,,,,,,
852,d34171,L-WL16-G07A,,L-WL16-G07A-0081,,IMAG0081,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:14,,,1,,,,,,
853,d34171,L-WL16-G07A,,L-WL16-G07A-0082,,IMAG0082,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:14,,,1,,,,,,
854,d34171,L-WL16-G07A,,L-WL16-G07A-0083,,IMAG0083,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:14,,,1,,,,,,
870,d34171,L-WL16-G07A,,L-WL16-G07A-0105,,IMAG0105,,,Turdus mupinensis,Chinese Thrush,,,,4/12/2016 11:23,,,1,,,,,,
871,d34171,L-WL16-G07A,,L-WL16-G07A-0106,,IMAG0106,,,Turdus mupinensis,Chinese Thrush,,,,4/12/2016 11:23,,,1,,,,,,
872,d34171,L-WL16-G07A,,L-WL16-G07A-0107,,IMAG0107,,,Turdus mupinensis,Chinese Thrush,,,,4/12/2016 11:23,,,1,,,,,,
879,d34171,L-WL16-G07A,,L-WL16-G07A-0117,,IMAG0117,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 8:29,,,1,,,,,,
891,d34171,L-WL16-G07A,,L-WL16-G07A-0133,,IMAG0133,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:32,,,1,,,,,,
892,d34171,L-WL16-G07A,,L-WL16-G07A-0134,,IMAG0134,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:32,,,1,,,,,,
893,d34171,L-WL16-G07A,,L-WL16-G07A-0135,,IMAG0135,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:32,,,1,,,,,,
894,d34171,L-WL16-G07A,,L-WL16-G07A-0137,,IMAG0137,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:33,,,1,,,,,,
895,d34171,L-WL16-G07A,,L-WL16-G07A-0138,,IMAG0138,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:33,,,1,,,,,,
896,d34171,L-WL16-G07A,,L-WL16-G07A-0139,,IMAG0139,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:33,,,1,,,,,,
903,d34171,L-WL16-G07A,,L-WL16-G07A-0149,,IMAG0149,,,Turdus mupinensis,Chinese Thrush,,,,4/17/2016 7:48,,,1,,,,,,
904,d34171,L-WL16-G07A,,L-WL16-G07A-0150,,IMAG0150,,,Turdus mupinensis,Chinese Thrush,,,,4/17/2016 7:48,,,1,,,,,,
905,d34171,L-WL16-G07A,,L-WL16-G07A-0151,,IMAG0151,,,Turdus mupinensis,Chinese Thrush,,,,4/17/2016 7:48,,,1,,,,,,
936,d34171,L-WL16-G07A,,L-WL16-G07A-0193,,IMAG0193,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:53,,,1,,,,,,
937,d34171,L-WL16-G07A,,L-WL16-G07A-0194,,IMAG0194,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:53,,,1,,,,,,
938,d34171,L-WL16-G07A,,L-WL16-G07A-0195,,IMAG0195,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:53,,,1,,,,,,
939,d34171,L-WL16-G07A,,L-WL16-G07A-0197,,IMAG0197,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:54,,,1,,,,,,
940,d34171,L-WL16-G07A,,L-WL16-G07A-0198,,IMAG0198,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:54,,,1,,,,,,
941,d34171,L-WL16-G07A,,L-WL16-G07A-0199,,IMAG0199,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:54,,,1,,,,,,
942,d34171,L-WL16-G07A,,L-WL16-G07A-0201,,IMAG0201,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:55,,,1,,,,,,
943,d34171,L-WL16-G07A,,L-WL16-G07A-0202,,IMAG0202,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:55,,,1,,,,,,
944,d34171,L-WL16-G07A,,L-WL16-G07A-0203,,IMAG0203,,,Turdus mupinensis,Chinese Thrush,,,,4/20/2016 16:55,,,1,,,,,,
945,d34171,L-WL16-G07A,,L-WL16-G07A-0205,,IMAG0205,,,Turdus mupinensis,Chinese Thrush,,,,4/21/2016 16:12,,,1,,,,,,
946,d34171,L-WL16-G07A,,L-WL16-G07A-0206,,IMAG0206,,,Turdus mupinensis,Chinese Thrush,,,,4/21/2016 16:12,,,1,,,,,,
947,d34171,L-WL16-G07A,,L-WL16-G07A-0207,,IMAG0207,,,Turdus mupinensis,Chinese Thrush,,,,4/21/2016 16:12,,,1,,,,,,
948,d34171,L-WL16-G07A,,L-WL16-G07A-0209,,IMAG0209,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:14,,,1,,,,,,
949,d34171,L-WL16-G07A,,L-WL16-G07A-0210,,IMAG0210,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:14,,,1,,,,,,
950,d34171,L-WL16-G07A,,L-WL16-G07A-0211,,IMAG0211,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:14,,,1,,,,,,
951,d34171,L-WL16-G07A,,L-WL16-G07A-0213,,IMAG0213,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:14,,,1,,,,,,
952,d34171,L-WL16-G07A,,L-WL16-G07A-0214,,IMAG0214,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:14,,,1,,,,,,
953,d34171,L-WL16-G07A,,L-WL16-G07A-0215,,IMAG0215,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:14,,,1,,,,,,
954,d34171,L-WL16-G07A,,L-WL16-G07A-0217,,IMAG0217,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:15,,,1,,,,,,
955,d34171,L-WL16-G07A,,L-WL16-G07A-0218,,IMAG0218,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:15,,,1,,,,,,
956,d34171,L-WL16-G07A,,L-WL16-G07A-0219,,IMAG0219,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 12:15,,,1,,,,,,
957,d34171,L-WL16-G07A,,L-WL16-G07A-0221,,IMAG0221,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 19:02,,,1,,,,,,
958,d34171,L-WL16-G07A,,L-WL16-G07A-0222,,IMAG0222,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 19:02,,,1,,,,,,
959,d34171,L-WL16-G07A,,L-WL16-G07A-0223,,IMAG0223,,,Turdus mupinensis,Chinese Thrush,,,,4/23/2016 19:02,,,1,,,,,,
966,d34171,L-WL16-G07A,,L-WL16-G07A-0233,,IMAG0233,,,Turdus mupinensis,Chinese Thrush,,,,4/27/2016 14:15,,,1,,,,,,
967,d34171,L-WL16-G07A,,L-WL16-G07A-0234,,IMAG0234,,,Turdus mupinensis,Chinese Thrush,,,,4/27/2016 14:15,,,1,,,,,,
968,d34171,L-WL16-G07A,,L-WL16-G07A-0235,,IMAG0235,,,Turdus mupinensis,Chinese Thrush,,,,4/27/2016 14:15,,,1,,,,,,
969,d34171,L-WL16-G07A,,L-WL16-G07A-0237,,IMAG0237,,,Turdus mupinensis,Chinese Thrush,,,,4/27/2016 14:16,,,1,,,,,,
970,d34171,L-WL16-G07A,,L-WL16-G07A-0238,,IMAG0238,,,Turdus mupinensis,Chinese Thrush,,,,4/27/2016 14:16,,,1,,,,,,
971,d34171,L-WL16-G07A,,L-WL16-G07A-0239,,IMAG0239,,,Turdus mupinensis,Chinese Thrush,,,,4/27/2016 14:16,,,1,,,,,,
984,d34171,L-WL16-G07A,,L-WL16-G07A-0257,,IMAG0257,,,Turdus mupinensis,Chinese Thrush,,,,4/29/2016 15:46,,,1,,,,,,
985,d34171,L-WL16-G07A,,L-WL16-G07A-0258,,IMAG0258,,,Turdus mupinensis,Chinese Thrush,,,,4/29/2016 15:46,,,1,,,,,,
986,d34171,L-WL16-G07A,,L-WL16-G07A-0259,,IMAG0259,,,Turdus mupinensis,Chinese Thrush,,,,4/29/2016 15:46,,,1,,,,,,
987,d34171,L-WL16-G07A,,L-WL16-G07A-0261,,IMAG0261,,,Turdus mupinensis,Chinese Thrush,,,,4/29/2016 16:48,,,1,,,,,,
988,d34171,L-WL16-G07A,,L-WL16-G07A-0262,,IMAG0262,,,Turdus mupinensis,Chinese Thrush,,,,4/29/2016 16:48,,,1,,,,,,
989,d34171,L-WL16-G07A,,L-WL16-G07A-0263,,IMAG0263,,,Turdus mupinensis,Chinese Thrush,,,,4/29/2016 16:48,,,1,,,,,,
996,d34171,L-WL16-G07A,,L-WL16-G07A-0273,,IMAG0273,,,Turdus mupinensis,Chinese Thrush,,,,5/1/2016 16:58,,,1,,,,,,
997,d34171,L-WL16-G07A,,L-WL16-G07A-0274,,IMAG0274,,,Turdus mupinensis,Chinese Thrush,,,,5/1/2016 16:58,,,1,,,,,,
998,d34171,L-WL16-G07A,,L-WL16-G07A-0275,,IMAG0275,,,Turdus mupinensis,Chinese Thrush,,,,5/1/2016 16:58,,,1,,,,,,
1017,d34171,L-WL16-G07A,,L-WL16-G07A-0301,,IMAG0301,,,Turdus mupinensis,Chinese Thrush,,,,5/4/2016 16:30,,,1,,,,,,
1018,d34171,L-WL16-G07A,,L-WL16-G07A-0302,,IMAG0302,,,Turdus mupinensis,Chinese Thrush,,,,5/4/2016 16:30,,,1,,,,,,
1019,d34171,L-WL16-G07A,,L-WL16-G07A-0303,,IMAG0303,,,Turdus mupinensis,Chinese Thrush,,,,5/4/2016 16:30,,,1,,,,,,
1053,d34171,L-WL16-G07A,,L-WL16-G07A-0349,,IMAG0349,,,Turdus mupinensis,Chinese Thrush,,,,5/10/2016 13:10,,,1,,,,,,
1054,d34171,L-WL16-G07A,,L-WL16-G07A-0350,,IMAG0350,,,Turdus mupinensis,Chinese Thrush,,,,5/10/2016 13:10,,,1,,,,,,
1055,d34171,L-WL16-G07A,,L-WL16-G07A-0351,,IMAG0351,,,Turdus mupinensis,Chinese Thrush,,,,5/10/2016 13:10,,,1,,,,,,
1056,d34171,L-WL16-G07A,,L-WL16-G07A-0353,,IMAG0353,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 6:22,,,1,,,,,,
1057,d34171,L-WL16-G07A,,L-WL16-G07A-0354,,IMAG0354,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 6:22,,,1,,,,,,
1058,d34171,L-WL16-G07A,,L-WL16-G07A-0355,,IMAG0355,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 6:22,,,1,,,,,,
1062,d34171,L-WL16-G07A,,L-WL16-G07A-0361,,IMAG0361,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 12:17,,,2,,,,,,
1063,d34171,L-WL16-G07A,,L-WL16-G07A-0362,,IMAG0362,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 12:17,,,2,,,,,,
1064,d34171,L-WL16-G07A,,L-WL16-G07A-0363,,IMAG0363,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 12:17,,,2,,,,,,
1065,d34171,L-WL16-G07A,,L-WL16-G07A-0365,,IMAG0365,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 12:18,,,2,,,,,,
1066,d34171,L-WL16-G07A,,L-WL16-G07A-0366,,IMAG0366,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 12:18,,,2,,,,,,
1067,d34171,L-WL16-G07A,,L-WL16-G07A-0367,,IMAG0367,,,Turdus mupinensis,Chinese Thrush,,,,5/11/2016 12:18,,,2,,,,,,
1077,d34171,L-WL16-G07A,,L-WL16-G07A-0381,,IMAG0381,,,Turdus mupinensis,Chinese Thrush,,,,5/16/2016 13:39,,,1,,,,,,
1078,d34171,L-WL16-G07A,,L-WL16-G07A-0382,,IMAG0382,,,Turdus mupinensis,Chinese Thrush,,,,5/16/2016 13:39,,,1,,,,,,
1079,d34171,L-WL16-G07A,,L-WL16-G07A-0383,,IMAG0383,,,Turdus mupinensis,Chinese Thrush,,,,5/16/2016 13:39,,,1,,,,,,
1080,d34171,L-WL16-G07A,,L-WL16-G07A-0385,,IMAG0385,,,Turdus mupinensis,Chinese Thrush,,,,5/16/2016 16:55,,,1,,,,,,
1081,d34171,L-WL16-G07A,,L-WL16-G07A-0386,,IMAG0386,,,Turdus mupinensis,Chinese Thrush,,,,5/16/2016 16:55,,,1,,,,,,
1082,d34171,L-WL16-G07A,,L-WL16-G07A-0387,,IMAG0387,,,Turdus mupinensis,Chinese Thrush,,,,5/16/2016 16:55,,,1,,,,,,
1254,d34171,L-WL16-G07A,,L-WL16-G07A-0617,,IMAG0617,,,Turdus mupinensis,Chinese Thrush,,,,6/12/2016 12:30,,,1,,,,,,
1255,d34171,L-WL16-G07A,,L-WL16-G07A-0618,,IMAG0618,,,Turdus mupinensis,Chinese Thrush,,,,6/12/2016 12:30,,,1,,,,,,
1256,d34171,L-WL16-G07A,,L-WL16-G07A-0619,,IMAG0619,,,Turdus mupinensis,Chinese Thrush,,,,6/12/2016 12:30,,,1,,,,,,
1272,d34171,L-WL16-G07A,,L-WL16-G07A-0641,,IMAG0641,,,Turdus mupinensis,Chinese Thrush,,,,6/13/2016 16:15,,,1,,,,,,
1273,d34171,L-WL16-G07A,,L-WL16-G07A-0642,,IMAG0642,,,Turdus mupinensis,Chinese Thrush,,,,6/13/2016 16:15,,,1,,,,,,
1274,d34171,L-WL16-G07A,,L-WL16-G07A-0643,,IMAG0643,,,Turdus mupinensis,Chinese Thrush,,,,6/13/2016 16:15,,,1,,,,,,
1278,d34171,L-WL16-G07A,,L-WL16-G07A-0649,,IMAG0649,,,Turdus mupinensis,Chinese Thrush,,,,6/14/2016 13:08,,,1,,,,,,
1279,d34171,L-WL16-G07A,,L-WL16-G07A-0650,,IMAG0650,,,Turdus mupinensis,Chinese Thrush,,,,6/14/2016 13:08,,,1,,,,,,
1280,d34171,L-WL16-G07A,,L-WL16-G07A-0651,,IMAG0651,,,Turdus mupinensis,Chinese Thrush,,,,6/14/2016 13:08,,,1,,,,,,
1281,d34171,L-WL16-G07A,,L-WL16-G07A-0653,,IMAG0653,,,Turdus mupinensis,Chinese Thrush,,,,6/14/2016 13:09,,,1,,,,,,
1282,d34171,L-WL16-G07A,,L-WL16-G07A-0654,,IMAG0654,,,Turdus mupinensis,Chinese Thrush,,,,6/14/2016 13:09,,,1,,,,,,
1283,d34171,L-WL16-G07A,,L-WL16-G07A-0655,,IMAG0655,,,Turdus mupinensis,Chinese Thrush,,,,6/14/2016 13:09,,,1,,,,,,
1293,d34171,L-WL16-G07A,,L-WL16-G07A-0669,,IMAG0669,,,Turdus mupinensis,Chinese Thrush,,,,6/19/2016 13:11,,,1,,,,,,
1294,d34171,L-WL16-G07A,,L-WL16-G07A-0670,,IMAG0670,,,Turdus mupinensis,Chinese Thrush,,,,6/19/2016 13:12,,,1,,,,,,
1295,d34171,L-WL16-G07A,,L-WL16-G07A-0671,,IMAG0671,,,Turdus mupinensis,Chinese Thrush,,,,6/19/2016 13:12,,,1,,,,,,
1300,d34171,L-WL16-G07A,,L-WL16-G07A-0678,,IMAG0678,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 8:59,,,1,,,,,,
1302,d34171,L-WL16-G07A,,L-WL16-G07A-0681,,IMAG0681,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 9:27,,,1,,,,,,
1303,d34171,L-WL16-G07A,,L-WL16-G07A-0682,,IMAG0682,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 9:27,,,1,,,,,,
1304,d34171,L-WL16-G07A,,L-WL16-G07A-0683,,IMAG0683,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 9:27,,,1,,,,,,
1305,d34171,L-WL16-G07A,,L-WL16-G07A-0685,,IMAG0685,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 11:55,,,1,,,,,,
1306,d34171,L-WL16-G07A,,L-WL16-G07A-0686,,IMAG0686,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 11:55,,,1,,,,,,
1307,d34171,L-WL16-G07A,,L-WL16-G07A-0687,,IMAG0687,,,Turdus mupinensis,Chinese Thrush,,,,6/20/2016 11:55,,,1,,,,,,
1308,d34171,L-WL16-G07A,,L-WL16-G07A-0689,,IMAG0689,,,Turdus mupinensis,Chinese Thrush,,,,6/25/2016 6:18,,,1,,,,,,
1309,d34171,L-WL16-G07A,,L-WL16-G07A-0690,,IMAG0690,,,Turdus mupinensis,Chinese Thrush,,,,6/25/2016 6:18,,,1,,,,,,
1310,d34171,L-WL16-G07A,,L-WL16-G07A-0691,,IMAG0691,,,Turdus mupinensis,Chinese Thrush,,,,6/25/2016 6:18,,,1,,,,,,
1371,d34171,L-WL16-G07A,,L-WL16-G07A-0773,,IMAG0773,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:18,,,1,,,,,,
1372,d34171,L-WL16-G07A,,L-WL16-G07A-0774,,IMAG0774,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:18,,,1,,,,,,
1373,d34171,L-WL16-G07A,,L-WL16-G07A-0775,,IMAG0775,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:18,,,1,,,,,,
1374,d34171,L-WL16-G07A,,L-WL16-G07A-0777,,IMAG0777,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:51,,,1,,,,,,
1375,d34171,L-WL16-G07A,,L-WL16-G07A-0778,,IMAG0778,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:51,,,1,,,,,,
1376,d34171,L-WL16-G07A,,L-WL16-G07A-0779,,IMAG0779,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:51,,,1,,,,,,
1389,d34171,L-WL16-G07A,,L-WL16-G07A-0797,,IMAG0797,,,Turdus mupinensis,Chinese Thrush,,,,7/2/2016 14:02,,,1,,,,,,
1390,d34171,L-WL16-G07A,,L-WL16-G07A-0798,,IMAG0798,,,Turdus mupinensis,Chinese Thrush,,,,7/2/2016 14:02,,,1,,,,,,
1391,d34171,L-WL16-G07A,,L-WL16-G07A-0799,,IMAG0799,,,Turdus mupinensis,Chinese Thrush,,,,7/2/2016 14:02,,,1,,,,,,
1395,d34171,L-WL16-G07A,,L-WL16-G07A-0805,,IMAG0805,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:17,,,1,,,,,,
1396,d34171,L-WL16-G07A,,L-WL16-G07A-0806,,IMAG0806,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:17,,,1,,,,,,
1397,d34171,L-WL16-G07A,,L-WL16-G07A-0807,,IMAG0807,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:17,,,1,,,,,,
1398,d34171,L-WL16-G07A,,L-WL16-G07A-0809,,IMAG0809,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:18,,,1,,,,,,
1399,d34171,L-WL16-G07A,,L-WL16-G07A-0810,,IMAG0810,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:18,,,1,,,,,,
1400,d34171,L-WL16-G07A,,L-WL16-G07A-0811,,IMAG0811,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:18,,,1,,,,,,
1401,d34171,L-WL16-G07A,,L-WL16-G07A-0813,,IMAG0813,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:19,,,1,,,,,,
