,Camera.Deployment.ID1,Camera.Deployment.ID,Camera.Site.Name,Camera.Deployment.Begin.Date,Camera.Deployment.End.Date,Actual.Latitude,Actual.Longitude,Camera.Failure.Details,Bait,Bait.Description,Feature,Feature.Methodology,Camera.ID,Quiet.Period.Setting,Sensitivity.Setting
0,d34168,L-WL15-R14A,L-WL15-R14A,11/10/2015,3/11/2016,32.92911911,104.12726,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU22,,high
1,d34169,L-WL16-E12A,L-WL16-E12A,3/19/2016,7/30/2016,32.94573975,103.98979,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU22,,high
2,d34170,L-WL16-F08A,L-WL16-F08A,3/19/2016,8/23/2016,32.98031998,104.00218,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
3,d34171,L-WL16-G07A,L-WL16-G07A,3/19/2016,8/23/2016,32.98477936,104.00492,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU24,,high
4,d34172,L-WL16-G20A,L-WL16-G20A,5/23/2016,7/20/2016,32.87181091,104.01121,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-007,,high
5,d34173,L-WL16-H03A,L-WL16-H03A,4/2/2016,7/17/2016,33.02759171,104.01746,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-001,,high
6,d34174,L-WL16-H04A,L-WL16-H04A,3/31/2016,8/23/2016,33.01708984,104.02205,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
7,d34175,L-WL16-J05A,L-WL16-J05A,3/28/2016,5/4/2016,33.00405121,104.03932,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-028,,high
8,d34176,L-WL16-J07A,L-WL16-J07A,3/19/2016,7/4/2016,32.9892807,104.042294,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
9,d34177,L-WL16-J17A,L-WL16-J17A,3/20/2016,4/16/2016,32.8966217,104.04656,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
10,d34178,L-WL16-J18A,L-WL16-J18A,3/20/2016,7/11/2016,32.89347076,104.04514,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R02,,high
11,d34179,L-WL16-J19A,L-WL16-J19A,3/20/2016,7/4/2016,32.88502121,104.0449,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-008,,high
12,d34180,L-WL16-K05A,L-WL16-K05A,3/19/2016,4/12/2016,33.0067482,104.05295,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-027,,high
13,d34181,L-WL16-K06A,L-WL16-K06A,3/18/2016,8/23/2016,32.99810028,104.05283,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-009,,high
14,d34182,L-WL16-K15A,L-WL16-K15A,3/21/2016,7/4/2016,32.91725922,104.05379,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU21,,high
15,d34183,L-WL16-K18A,L-WL16-K18A,3/20/2016,7/4/2016,32.88914108,104.05039,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
16,d34184,L-WL16-K21A,L-WL16-K21A,3/20/2016,7/4/2016,32.86397934,104.05332,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-003,,high
17,d34185,L-WL16-L08A,L-WL16-L08A,3/19/2016,8/23/2016,32.98445892,104.06604,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R05,,high
18,d34186,L-WL16-L11A,L-WL16-L11A,3/22/2016,8/22/2016,32.95333862,104.06446,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R11,,high
19,d34187,L-WL16-L12A,L-WL16-L12A,3/21/2016,7/4/2016,32.944561,104.06412,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU05,,high
20,d34188,L-WL16-M06A,L-WL16-M06A,3/19/2016,7/11/2016,32.99808884,104.07492,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-018,,high
21,d34189,L-WL16-M10A,L-WL16-M10A,3/31/2016,8/23/2016,32.96295929,104.07274,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU07,,high
22,d34197,L-WL14-N08A,L-WL14-N08A,12/28/2014,3/8/2015,32.98289108,104.08633,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R03,,high
23,d34212,L-WL14-R11A,L-WL14-R11A,12/27/2014,2/14/2015,32.95711899,104.12719,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
24,d34217,L-WL15-G06A,L-WL15-G06A,5/19/2015,7/11/2015,33.00024033,104.01356,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-012,,high
25,d34232,L-WL15-Q08A,L-WL15-Q08A,3/16/2015,7/31/2015,32.98365021,104.11839,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-014,,high
26,d34235,L-WL15-S14A,L-WL15-S14A,5/21/2015,6/19/2015,32.92726135,104.13709,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
27,d34240,L-WL15-D15A,L-WL15-D15A,8/2/2015,9/18/2015,32.91255951,103.9818,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-012,,high
28,d34241,L-WL15-E09A,L-WL15-E09A,7/29/2015,8/15/2015,32.97198105,103.9883,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-013,,high
29,d34242,L-WL15-E10A,L-WL15-E10A,8/1/2015,10/17/2015,32.96175003,103.9936,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R05,,high
30,d34243,L-WL15-E11A,L-WL15-E11A,8/1/2015,10/17/2015,32.95513916,103.99158,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-007,,high
31,d34244,L-WL15-E13A,L-WL15-E13A,8/1/2015,10/7/2015,32.93112946,103.99174,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-010,,high
32,d34245,L-WL15-E13B,L-WL15-E13B,8/1/2015,10/19/2015,32.93867111,103.9892,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,R-09,,high
33,d34246,L-WL15-E14A,L-WL15-E14A,8/1/2015,10/19/2015,32.92118835,103.98867,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-019,,high
34,d34247,L-WL15-F06A,L-WL15-F06A,7/29/2015,10/20/2015,32.99623108,104.00214,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-008,,high
35,d34248,L-WL15-F06B,L-WL15-F06B,7/29/2015,10/14/2015,33.00028992,103.99974,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-018,,high
36,d34249,L-WL15-F07A,L-WL15-F07A,7/29/2015,8/13/2015,32.98472977,104.00457,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-027,,high
37,d34250,L-WL15-F09A,L-WL15-F09A,7/29/2015,10/19/2015,32.96730042,103.99745,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
38,d34251,L-WL15-F09B,L-WL15-F09B,7/29/2015,10/17/2015,32.9742012,104.00209,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
39,d34252,L-WL15-F10A,L-WL15-F10A,8/1/2015,9/24/2015,32.95906067,103.99767,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-014,,high
40,d34253,L-WL15-G06B,L-WL15-G06B,8/1/2015,10/10/2015,32.99493027,104.00889,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,R-11,,high
41,d34254,L-WL15-G08A,L-WL15-G08A,7/29/2015,10/17/2015,32.98413086,104.00726,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
42,d34255,L-WL15-G08B,L-WL15-G08B,7/29/2015,10/17/2015,32.97652817,104.00526,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-028,,high
43,d34256,L-WL15-J05A,L-WL15-J05A,5/30/2015,7/26/2015,33.00912094,104.04235,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-009,,high
44,d34257,L-WL15-L07A,L-WL15-L07A,9/14/2015,10/19/2015,32.99312973,104.06705,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
45,d34258,L-WL15-L14A,L-WL15-L14A,8/26/2015,10/1/2015,32.93067169,104.06222,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-005,,high
46,d34260,L-WL15-M08A,L-WL15-M08A,8/26/2015,10/1/2015,32.97631836,104.07663,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-003,,high
47,d34261,L-WL15-N06A,L-WL15-N06A,6/9/2015,8/11/2015,32.99435043,104.08764,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-005,,high
48,d34262,L-WL15-N08A,L-WL15-N08A,8/26/2015,10/1/2015,32.98073959,104.08522,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
49,d34263,L-WL15-N10A,L-WL15-N10A,6/11/2015,8/12/2015,32.96152115,104.08759,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
50,d34264,L-WL15-N10B,L-WL15-N10B,6/9/2015,6/21/2015,32.96635056,104.08565,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,P-08,,high
51,d34265,L-WL15-O09A,L-WL15-O09A,7/28/2015,9/14/2015,32.97069931,104.09557,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
52,d34266,L-WL15-P08A,L-WL15-P08A,9/2/2015,10/20/2015,32.98378372,104.109302,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
53,d34269,L-WL15-T11B,L-WL15-T11B,8/31/2015,10/19/2015,32.95127106,104.14787,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-002,,high
54,d34270,L-WL15-T11C,L-WL15-T11C,8/31/2015,10/19/2015,32.95521164,104.15093,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-004,,high
55,d34271,L-WL15-J02B,L-WL15-J02B,10/21/2015,10/21/2015,33.0038681,104.039399,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-014,,high
56,d34272,L-WL15-J06A,L-WL15-J06A,10/21/2015,2/28/2016,32.99523163,104.04354,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,4,,high
57,d34273,L-WL15-J19A,L-WL15-J19A,10/21/2015,2/28/2016,32.87976074,104.04282,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-035,,high
58,d34275,L-WL15-K07A,L-WL15-K07A,10/21/2015,2/28/2016,32.9864769,104.05428,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,0ZY0,,high
59,d34276,L-WL15-K18A,L-WL15-K18A,10/21/2015,10/22/2015,32.88914871,104.05048,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-027,,high
60,d34277,L-WL15-K19A,L-WL15-K19A,10/21/2015,2/28/2016,32.87839127,104.04975,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-036,,high
61,d34278,L-WL15-K20A,L-WL15-K20A,10/21/2015,2/28/2016,32.8740387,104.053,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-012,,high
62,d34279,L-WL15-L08A,L-WL15-L08A,10/21/2015,11/2/2015,32.98398972,104.06594,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
63,d34280,L-WL15-L10A,L-WL15-L10A,10/21/2015,2/28/2016,32.95811844,104.06696,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-008,,high
64,d34281,L-WL15-L13A,L-WL15-L13A,10/21/2015,12/19/2015,32.93902969,104.0643,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-007,,high
65,d34282,L-WL15-M08B,L-WL15-M08B,10/22/2015,2/28/2016,32.98403931,104.0718,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-013,,high
66,d34283,L-WL15-M09A,L-WL15-M09A,10/21/2015,2/28/2016,32.96770859,104.07141,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-018,,high
67,d34284,L-WL15-O08B,L-WL15-O08B,10/22/2015,11/4/2015,32.98273849,104.10041,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-004,,high
68,d34285,L-WL15-O20A,L-WL15-O20A,11/10/2015,2/24/2016,32.87379074,104.09624,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU05,,high
69,d34286,L-WL15-P14A,L-WL15-P14A,11/10/2015,2/27/2016,32.92998123,104.10909,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU26,,high
70,d34287,L-WL15-P17A,L-WL15-P17A,11/10/2015,2/27/2016,32.9025383,104.10877,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU12,,high
71,d34288,L-WL15-P19A,L-WL15-P19A,11/10/2015,2/27/2016,32.88478851,104.11005,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU07,,high
72,d34289,L-WL15-P20A,L-WL15-P20A,11/10/2015,2/27/2016,32.87685013,104.1059,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU28,,high
73,d34290,L-WL15-Q14A,L-WL15-Q14A,11/10/2015,2/4/2016,32.92924881,104.11537,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU29,,high
74,d34291,L-WL15-Q14B,L-WL15-Q14B,11/10/2015,2/27/2016,32.92251968,104.11743,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU01,,high
75,d34292,L-WL15-Q15A,L-WL15-Q15A,11/10/2015,2/27/2016,32.91476822,104.11849,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU17,,high
76,d34294,L-WL15-Q17A,L-WL15-Q17A,11/10/2015,2/27/2016,32.89513016,104.12195,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU32,,high
77,d34295,L-WL15-Q18A,L-WL15-Q18A,11/10/2015,2/27/2016,32.88819885,104.12086,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU24,,high
78,d34296,L-WL15-R11A,L-WL15-R11A,10/23/2015,1/17/2016,32.95063019,104.12897,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-001,,high
79,d34297,L-WL15-R15A,L-WL15-R15A,11/10/2015,2/28/2016,32.91786957,104.1287,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU31,,high
80,d34298,L-WL15-R16A,L-WL15-R16A,11/10/2015,2/27/2016,32.91276169,104.12694,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU23,,high
81,d34299,L-WL15-R17A,L-WL15-R17A,11/10/2015,2/27/2016,32.90205002,104.12732,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU14,,high
82,d34300,L-WL15-R17B,L-WL15-R17B,11/10/2015,2/27/2016,32.89657974,104.1275,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU18,,high
83,d34301,L-WL15-S11A,L-WL15-S11A,10/23/2015,3/4/2016,32.94968033,104.13821,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-005,,high
84,d34303,L-WL15-S13A,L-WL15-S13A,10/27/2015,3/4/2016,32.93801117,104.13986,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-019,,high
85,d34304,L-WL15-S13B,L-WL15-S13B,10/31/2015,3/4/2016,32.93778992,104.13821,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,R05,,high
86,d34305,L-WL15-S14B,L-WL15-S14B,11/11/2015,2/28/2016,32.9228096,104.13532,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R2,,high
87,d34306,L-WL15-S15A,L-WL15-S15A,11/25/2015,11/25/2015,32.91822052,104.1391,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-002,,high
88,d34307,L-WL15-S16A,L-WL15-S16A,11/11/2015,2/26/2016,32.90877151,104.139061,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU21,,high
89,d34308,L-WL15-T12A,L-WL15-T12A,11/11/2015,2/26/2016,32.94523621,104.149554,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU04,,high
90,d34309,L-WL15-T15A,L-WL15-T15A,10/23/2015,1/15/2016,32.92139816,104.15115,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-028,,high
91,d34310,L-WL15-T16A,L-WL15-T16A,11/11/2015,1/16/2016,32.90904236,104.149584,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-020,,high
92,d34311,L-WL15-U12A,L-WL15-U12A,11/11/2015,3/4/2016,32.94318008,104.15854,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,U12,,high
93,d34313,L-WL15-V14A,L-WL15-V14A,10/23/2015,1/4/2016,32.9283905,104.17114,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-015,,high
94,d34314,L-WL15-V15A,L-WL15-V15A,10/23/2015,3/4/2016,32.92226028,104.17107,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-016,,high
95,d34315,L-WL15-W15A,L-WL15-W15A,10/23/2015,3/4/2016,32.92148972,104.18041,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-003,,high
96,d34316,L-WL15-W15B,L-WL15-W15B,10/23/2015,3/4/2016,32.92153931,104.18323,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
97,d36044,L-WL16-B15A,L-WL16-B15A,7/30/2016,10/4/2016,32.91732025,103.95799,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU44,,high
98,d36049,L-WL16-C23B,L-WL16-C23B,7/20/2016,10/1/2016,32.84524155,103.97301,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L018,,high
99,d36052,L-WL16-D16A,L-WL16-D16A,7/30/2016,10/4/2016,32.90731049,103.97418,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-007,,high
100,d36053,L-WL16-D22A,L-WL16-D22A,7/20/2016,10/1/2016,32.85221863,103.98144,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L025,,high
101,d36054,L-WL16-D23A,L-WL16-D23A,7/20/2016,10/1/2016,32.84854126,103.97547,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L012,,high
102,d36055,L-WL16-E04A,L-WL16-E04A,7/16/2016,9/29/2016,33.01409912,103.99322,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L039,,high
103,d36058,L-WL16-F01A,L-WL16-F01A,7/17/2016,9/28/2016,33.04119873,104.00186,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L040,,high
104,d36059,L-WL16-F03A,L-WL16-F03A,7/17/2016,9/28/2016,33.02286148,104.0001,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L041,,high
105,d36060,L-WL16-F05A,L-WL16-F05A,7/16/2016,9/29/2016,33.00281143,103.99711,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L046,,high
106,d36061,L-WL16-F20A,L-WL16-F20A,7/20/2016,10/1/2016,32.86769104,104.00308,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L032,,high
107,d36062,L-WL16-F21A,L-WL16-F21A,7/20/2016,10/1/2016,32.86558914,104.003374,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L035,,high
108,d36063,L-WL16-F22A,L-WL16-F22A,7/20/2016,10/1/2016,32.85450745,104.001064,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L028,,high
109,d36064,L-WL16-F22B,L-WL16-F22B,7/20/2016,10/1/2016,32.85378265,104.006037,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L047,,high
110,d36065,L-WL16-F23A,L-WL16-F23A,7/20/2016,10/1/2016,32.84515762,103.99943,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L013,,high
111,d36066,L-WL16-F24A,L-WL16-F24A,7/21/2016,10/2/2016,32.83124924,104.00429,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L026,,high
112,d36067,L-WL16-F25A,L-WL16-F25A,7/21/2016,10/2/2016,32.82442856,103.99987,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L022,,high
113,d36070,L-WL16-G16A,L-WL16-G16A,7/30/2016,10/4/2016,32.91055679,104.0079,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU01,,high
114,d36076,L-WL16-G21B,L-WL16-G21B,7/20/2016,10/1/2016,32.86317825,104.012111,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L030,,high
115,d36078,L-WL16-G25A,L-WL16-G25A,7/21/2016,10/1/2016,32.87292099,104.01704,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L027,,high
116,d36079,L-WL16-G25B,L-WL16-G25B,7/21/2016,10/1/2016,32.82366943,104.01266,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L020,,high
117,d36084,L-WL16-H23A,L-WL16-H23A,7/21/2016,10/2/2016,32.84537888,104.0217,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L049,,high
118,d36085,L-WL16-H23B,L-WL16-H23B,8/1/2016,10/2/2016,32.84209061,104.026825,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L023,,high
119,d36086,L-WL16-H24A,L-WL16-H24A,7/21/2016,10/2/2016,32.83776093,104.01904,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L016,,high
120,d36087,L-WL16-I03A,L-WL16-I03A,7/17/2016,9/28/2016,33.02188873,104.0303,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L050,,high
121,d36089,L-WL16-I07A,L-WL16-I07A,7/16/2016,9/28/2016,32.98706055,104.02749,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L037,,high
122,d36092,L-WL16-J04A,L-WL16-J04A,7/16/2016,9/27/2016,33.01478577,104.039658,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L048,,high
123,d36093,L-WL16-J08A,L-WL16-J08A,8/2/2016,10/3/2016,32.97666931,104.04349,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU22,,high
124,d36094,L-WL16-J13A,L-WL16-J13A,8/2/2016,9/29/2016,32.93201065,104.04245,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
125,d36095,L-WL16-J18B,L-WL16-J18B,8/4/2016,9/29/2016,32.88980865,104.03895,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-019,,high
126,d36096,L-WL16-K08A,L-WL16-K08A,8/2/2016,9/26/2016,32.97842026,104.04938,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-028,,high
127,d36098,L-WL16-L16A,L-WL16-L16A,7/27/2016,9/27/2016,32.90755844,104.06481,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L021,,high
128,d36099,L-WL16-L19A,L-WL16-L19A,7/27/2016,9/27/2016,32.87739944,104.06398,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L015,,high
129,d36100,L-WL16-L20A,L-WL16-L20A,7/27/2016,9/27/2016,32.87565994,104.06594,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L014,,high
130,d36103,L-WL16-M16A,L-WL16-M16A,7/27/2016,9/27/2016,32.90853882,104.07016,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,L024,,high
